期号,开奖日期,前区,后区,前区号码1,前区号码2,前区号码3,前区号码4,前区号码5,后区号码1,后区号码2,总销售额,奖池余额
26061,2026-06-03,"10,12,26,31,35","02,12",10,12,26,31,35,02,12,"354,547,009","807,705,563.71"
26062,2026-06-06,"07,15,20,24,29","04,10",07,15,20,24,29,04,10,"397,538,816","738,675,961.01"
26063,2026-06-08,"03,15,20,29,31","01,12",03,15,20,29,31,01,12,"353,853,854","762,261,291.72"
26064,2026-06-10,"03,13,15,17,21","02,07",03,13,15,17,21,02,07,"352,495,130","787,631,261.17"
26065,2026-06-13,"04,11,12,13,25","04,08",04,11,12,13,25,04,08,"361,984,211","802,840,285.34"
26066,2026-06-15,"10,13,19,21,30","04,05",10,13,19,21,30,04,05,"352,461,614","817,519,004.86"
26067,2026-06-17,"06,16,18,19,28","07,11",06,16,18,19,28,07,11,"322,509,643","791,339,917.07"
26068,2026-06-20,"03,11,12,21,22","06,10",03,11,12,21,22,06,10,"333,899,407","802,145,380.54"
26069,2026-06-22,"12,19,21,24,29","03,10",12,19,21,24,29,03,10,"312,134,107","757,966,457.83"
26070,2026-06-24,"04,05,15,21,32","02,11",04,05,15,21,32,02,11,"312,722,588","814,894,461.66"
26071,2026-06-27,"05,13,22,26,32","02,03",05,13,22,26,32,02,03,"332,658,791","844,492,276.81"
26072,2026-06-29,"01,13,26,29,30","09,11",01,13,26,29,30,09,11,"309,759,041","820,383,228.03"
26073,2026-07-01,"04,10,22,23,33","02,12",04,10,22,23,33,02,12,"306,363,724","798,037,522.38"
26074,2026-07-04,"01,04,10,23,25","01,12",01,04,10,23,25,01,12,"319,733,435","818,314,176.51"
26075,2026-07-06,"01,06,16,18,26","04,10",01,06,16,18,26,04,10,"295,227,167","814,593,833.81"
26076,2026-07-08,"15,20,27,28,35","02,11",15,20,27,28,35,02,11,"303,115,587","804,904,836.99"
26077,2026-07-11,"04,14,19,24,27","06,07",04,14,19,24,27,06,07,"318,922,356","797,164,073.48"
26078,2026-07-13,"02,13,20,25,32","08,11",02,13,20,25,32,08,11,"302,935,941","818,797,138.41"
26079,2026-07-15,"06,08,23,26,27","05,12",06,08,23,26,27,05,12,"301,975,334","794,651,243.34"
26080,2026-07-18,"05,10,15,21,23","07,08",05,10,15,21,23,07,08,"325,550,165","765,513,154.43"
